State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
VT,54,868,765-5532,yes,yes,800,8.79110052881822,0,5.289804901818886,3.0006606400457256,1,7.162342800563192,5.932550039352426,200,5.656763409961404,4.481208861710778,8,2.198466279847525,8,False.
UT,199,858,832-2636,yes,no,0,9.65169823930053,9,6.915209477856239,5.415175569252566,7,6.78914378031139,5.338695367146414,50,7.395225693217045,6.2455786798118655,4,3.7882461973223136,5,True.
CO,147,677,432-6098,no,yes,400,6.496274624406159,7,4.0386260913846215,4.9818150280368885,1,7.209498486350891,3.4497568511290493,150,7.141302133100696,6.139915995557477,4,2.563647176715816,8,False.
VA,33,866,680-7167,no,yes,800,0.2141237894772478,5,2.7478071936039283,6.667249735161519,0,3.7105697501024593,1.397775006624797,300,3.788410955714685,6.125858768956448,4,7.693159660816305,5,False.
KY,188,758,524-7008,yes,no,0,8.863104633396919,0,6.162768936772904,7.351537996078333,1,8.35108103669436,2.8261650981335533,250,5.5795140020363165,5.336027687839516,4,7.54579568268033,5,True.
IA,149,736,621-6730,yes,no,0,0.3570435030020009,3,3.505091431863939,5.289811800409789,2,2.4025447279667107,2.6922602941339004,250,4.595743470471094,4.513684475628301,4,3.689059985696929,7,False.
IN,33,737,740-2610,no,yes,300,8.302520040690593,3,6.509791808451869,5.443756903187849,2,6.362503188620206,3.9922382382564656,150,5.002614554652508,5.356695089888201,7,5.533526804602525,3,True.
IA,178,736,296-3534,no,yes,200,4.858360132120029,2,6.869858201822634,5.6401550102603055,4,2.700567465124416,4.063186861775978,200,6.07546399193348,4.142877191538647,5,1.3306942680638012,8,True.
KY,5,758,154-5530,no,no,0,2.607868040692816,4,4.176725039912888,3.7206604568669146,5,3.513755009081661,3.5706482115218194,200,6.492175630743626,5.570344046567259,2,2.2509214966760567,6,False.
NC,109,786,411-5157,yes,yes,400,5.070895720919416,2,5.768746261325683,4.646826901071503,4,4.805825088415016,6.059528788588549,200,3.809317777430432,4.534823130133161,4,6.949835083339014,4,True.
WA,84,876,159-6634,no,no,0,7.883410529041966,2,6.231380788205504,8.071428888991079,1,6.15255262736498,4.583400524008404,250,5.300137712014535,6.630742159158059,5,6.317756587658761,6,True.
HI,200,727,410-2896,yes,no,0,9.152920259202526,4,4.454071853709445,5.727194033239666,1,8.333268444048493,3.753192677495124,100,7.08997972793346,4.917648335722207,4,5.599141658211954,6,True.
MS,169,778,808-4559,no,yes,800,10.431870118596857,3,9.34709374178598,8.120612045306196,3,5.832702305297897,4.333157035152686,350,6.38016599588819,7.450166036831578,8,4.049808912524991,7,False.
NV,115,788,968-8141,yes,yes,200,13.913852217434371,4,8.261744640062082,8.14095294558872,5,8.659118053501171,7.209096451938203,100,4.916776908499179,6.177277276386503,9,7.904598377308169,1,True.
OH,34,797,925-5242,yes,yes,400,5.882729770656104,4,4.086008268369728,5.719455032784401,0,4.448455998330852,2.9818487958075943,150,6.828370917331631,5.928879785298254,8,0.5285252916830574,8,True.
ND,175,786,239-2953,yes,no,0,10.28676378099166,0,5.57850984225391,6.306647985235341,5,9.736263742412344,3.26085966768213,100,5.691421333107599,3.588038149598312,4,8.71572411141848,6,True.
OK,196,797,375-3769,yes,no,0,2.3402518743663467,4,3.4260995563738037,4.501029876513075,1,4.822740503811789,4.414433457010387,300,3.0451253674427035,4.3569096096907725,6,5.903421812856034,5,False.
AL,63,657,192-4280,no,yes,500,0.0142471428108326,3,1.9676852844449664,4.206723169643299,1,3.716717149022838,4.624040832122881,200,3.0151417615928366,6.246115097711963,2,8.206888229097565,4,False.
VA,35,866,655-9177,no,yes,500,5.818032067600523,4,3.378746471404636,6.190013146535193,0,5.191796274018999,3.712501699771569,200,6.404185218224341,4.7666581376468224,6,3.1279017844528907,7,True.
NC,186,786,895-4961,no,no,0,8.49760146010752,3,4.935967747379696,6.544500332351285,0,5.757508760661467,4.708564662924215,150,6.64591727804847,5.828908048780817,8,2.707055937105113,6,True.
ME,27,776,605-3683,yes,yes,400,5.182358064142733,5,3.5583002460106075,3.050619232731467,3,4.349551100181527,6.231501087691509,50,6.178896395971021,6.080129541187952,5,1.7550464599636042,7,True.
LA,191,766,329-3186,yes,no,0,12.81992309756682,3,7.310809369915741,8.331165241844573,0,8.890579049857656,2.182595851287558,200,7.20786315445906,3.6303598098778553,9,5.469429872343973,3,True.
LA,189,766,741-5389,no,no,0,3.805808329989935,1,4.487290081965076,3.0509630560156555,2,4.469253972484148,4.195015161601569,350,5.324918150488217,6.165456582949592,7,1.2845806039598775,7,False.
WV,100,878,693-5368,no,no,0,8.55864245969734,5,4.045806694338591,6.491794323778368,1,6.169517318113918,6.140839898435381,100,6.406015072543563,3.7479096931291824,7,3.5256378161689708,5,True.
MI,96,777,382-9582,yes,yes,500,7.358443276065973,2,3.188986542200455,7.15535901867476,1,4.877496405809918,4.745751404106207,150,5.7328616424165615,4.877938687551231,10,3.8881963794380088,4,True.
RI,66,827,827-6816,no,no,0,1.6909613375809776,5,3.0126856033430327,2.444481799141185,4,4.22633788233531,2.569739045875785,200,5.324948766857307,5.719747200918941,5,2.1791652883273622,5,False.
AR,12,658,747-7110,yes,no,0,2.7030879149675284,3,3.714960167141317,4.113388406000886,2,3.6152209229439576,4.368027054473686,250,4.020406395104561,5.073965594500552,7,3.662639878191413,5,False.
IN,135,737,656-4815,yes,no,0,6.910600345261397,3,7.489382702790658,5.501047100664679,4,2.703305062072041,1.674197015594106,200,9.775251721631514,4.588478199727165,7,5.831932979304085,11,True.
MS,155,778,970-7188,no,no,0,11.809295030151167,5,7.889439565216056,7.582860671029194,5,6.618473198164282,4.973283916495167,200,6.538836346933846,5.22443584018444,10,3.856465520242813,3,True.
CO,93,677,391-6755,yes,no,0,6.5269711289121775,3,3.940515558170139,2.9536663834883115,0,7.092887693559312,4.374773781115382,200,5.951376081943098,4.540936255868845,7,1.4496230255725733,8,False.
DC,188,686,389-6065,yes,yes,500,2.480643857931504,4,3.537586387606332,3.733355616351664,2,4.43047964737553,3.841332049611247,200,4.461755471937138,4.098669955506185,5,3.939147376949004,6,False.
SD,143,836,430-1060,yes,no,0,2.15249415610047,4,6.985525535084122,5.712406915263215,11,2.174552058602745,5.951046493197049,350,2.195495681263584,4.443455188459895,5,5.234436577658931,4,False.
DE,68,686,611-4230,no,yes,500,5.480030099562003,3,3.493511605997877,2.378365537839226,1,6.872664170080943,5.877522390380607,250,5.251431251902612,5.928404833160486,6,1.864618242667904,7,False.
KY,127,758,419-4073,yes,no,0,7.45163652712552,5,6.0073823045945405,4.903448914231017,7,5.095066365854359,9.207269340957318,50,3.1633145176816853,3.939531018659346,6,8.064631074964193,2,True.
VA,152,866,433-2968,yes,yes,500,4.33699369376712,3,4.685538464754482,4.744389854465993,0,4.8728625713447045,2.908219572356165,200,5.505049075785175,4.093280671244871,5,3.952846536695093,7,True.
OK,3,797,313-7846,yes,no,0,0.3123801880785697,2,0.357212882040181,0.0916058930677357,1,5.127059331202107,2.4393154841130142,350,4.623760833783356,4.665995875435612,7,0.2221395869116227,8,False.
OH,195,797,610-7521,no,yes,200,0.7158316005991567,4,3.745934970318317,2.951786408556794,9,1.7942378228798646,5.185266212194737,300,2.8875077275196466,6.848406598360175,5,2.5800002970888345,4,False.
RI,198,827,278-9201,no,no,0,10.887262325992284,5,7.265846118619828,7.433797757035161,1,7.753510476637349,4.367156831353768,100,6.815946908919193,4.239314820210065,5,5.276036075023445,6,True.
WY,184,878,493-1022,yes,yes,200,8.056710311691809,3,7.82094647340525,4.796317591077699,7,4.173789055780426,5.744380853055466,100,6.429457111671469,5.052492803412385,6,2.04041939995774,6,True.
